Tweet,Emotion
This is an angry sentence,anger
This is an furious sentence,anger
The girl staring back at me was angry,anger
The girl staring back at me was furious,anger
I'm so mad I can't do this,anger
I'm so insane I can't do this,anger
I'm so crazy I can't do this,anger
I'm really pissed off,anger
I'm really peeved off,anger
I'm really miffed off,anger
I'm really annoyed off,anger
Whoa those guys were seething with rage,anger
Whoa those guys were seething with fury,anger
My boss was livid when he saw the reports from last month.,anger
My neighbor went off on the delivery guy for being three hours late.,anger
This is a sad sentence,sadness
This is a sorry sentence,sadness
I suppose it would be a sad memory.,sadness
I suppose it would be a sorry memory.,sadness
I've been feeling down about work lately.,sadness
I've been sense down about work lately.,sadness
I've been feel down about work lately.,sadness
Jennifer's sad about her mother.,sadness
Jennifer's sorry about her mother.,sadness
Our teacher said he was feeling blue about life last night.,sadness
Our teacher said he was sense blue about life last night.,sadness
Our teacher said he was feel blue about life last night.,sadness
Our teacher said he was feeling blue about life-time last night.,sadness
Nothing could explain the sadness she felt.,sadness
Nothing could explain the sorrow she felt.,sadness
Nothing could explain the gloominess she felt.,sadness
Nina seems to be down in the dumps because she broke up with her boyfriend recently.,sadness
Nina seems to be down in the dump because she broke up with her boyfriend recently.,sadness
She has the blues today.,sadness
This is a happy sentence,joy
This is a glad sentence,joy
It must be a beautiful and happy place; and I wish to know all about it.,joy
It must be a beautiful and glad place; and I wish to know all about it.,joy
I'm feeling pretty good right now.,joy
I'm sense pretty good right now.,joy
I'm feel pretty good right now.,joy
I'm feeling fairly good right now.,joy
I'm feeling pretty well right now.,joy
I'm in a very good mood.,joy
I'm in a very well mood.,joy
I feel great!,joy
It feels so good taking a long vacation.,joy
It feels so well taking a long vacation.,joy
This is so awesome. I can't believe this happened.,joy
I got everything I ever wanted. I feel so blessed.,joy
My brother was jumping around everywhere when he heard he got into Stanford.,joy
This is a scared sentence,fear
This is a frightened sentence,fear
It was such a terrifying ordeal.,fear
I watched a horror movie yesterday. Some of the scenes and the sound effects were so frightening that they sent shivers down my spine.,fear
I watched a horror movie yesterday. Some of the scenes and the sound effects were so fearsome that they sent shivers down my spine.,fear
I watched a horror movie yesterday. Some of the scenes and the sound effects were so horrific that they sent shivers down my spine.,fear
I don’t like to watch horror films because they scare the hell out of me.,fear
I’m afraid of the dark.,fear
My blood ran cold it scared me so much.,fear
My blood ran cold-blooded it scared me so much.,fear
My blood ran cold it frightened me so much.,fear
I can’t watch horror films. They give me goose bumps.,fear
Taking that road is fraught with danger it is on the side of a cliff and landslides happen frequently. ,fear
Taking that road is fraught with peril it is on the side of a cliff and landslides happen frequently. ,fear
